ad_group,keyword,match_types,suggested_cpc_low,suggested_cpc_high,estimated_volume,competition,search_intent,composite_score,priority,expected_monthly_clicks,expected_monthly_conversions,theme_monthly_budget,source
Brand Terms,nutrabay price,"Exact, Phrase",0.31,0.85,500,Low,transactional,7.65,High,20,0.4,1053.0,brand_variant
Brand Terms,nutrabay store,"Exact, Phrase",0.36,0.84,618,Low,transactional,7.65,High,25,0.5,1053.0,brand_variant
Brand Terms,gym supplements nutrabay,"Exact, Phrase",0.25,0.98,1016,Low,navigational,7.55,High,65,1.3,1053.0,brand_variant
Brand Terms,nutrabay gym supplements,"Exact, Phrase",0.31,0.95,1110,Low,navigational,7.55,High,71,1.4,1053.0,brand_variant
Brand Terms,bodybuilding supplements nutrabay,"Exact, Phrase",0.3,0.89,1468,Low,navigational,7.55,High,94,1.9,1053.0,brand_variant
Brand Terms,nutrabay muscle building supplements,"Exact, Phrase",0.34,0.92,1017,Low,navigational,7.55,High,65,1.3,1053.0,brand_variant
Brand Terms,protein isolate nutrabay,"Exact, Phrase",0.34,0.89,1055,Low,navigational,7.55,High,68,1.4,1053.0,brand_variant
Brand Terms,nutrabay website,"Exact, Phrase",0.35,0.85,1431,Low,navigational,7.55,High,92,1.8,1053.0,brand_variant
Brand Terms,nutrabay bodybuilding supplements,"Exact, Phrase",0.35,0.86,1050,Low,navigational,7.55,High,67,1.3,1053.0,brand_variant
Brand Terms,muscle building supplements nutrabay,"Exact, Phrase",0.3,0.94,1146,Low,navigational,7.55,High,73,1.5,1053.0,brand_variant
Brand Terms,protein powder nutrabay,"Exact, Phrase",0.31,0.89,1416,Low,navigational,7.55,High,91,1.8,1053.0,brand_variant
Brand Terms,nutrabay whey protein,"Exact, Phrase",0.29,0.85,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay reviews,"Exact, Phrase",0.32,0.98,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay products,"Exact, Phrase",0.36,0.98,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay,"Exact, Phrase",0.25,0.96,596,Low,navigational,7.05,High,38,0.8,1053.0,brand_variant
Brand Terms,nutrabay contact,"Exact, Phrase",0.29,0.91,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay support,"Exact, Phrase",0.25,0.92,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
