keyword,theme,search_intent,priority,estimated_volume,estimated_competition,estimated_cpc_low,estimated_cpc_high,composite_score,performance_rank,source
whey protein,Category Terms,commercial,Medium,1652,Medium,0.44,1.16,6.45,21,seed_direct
protein powder,Category Terms,commercial,Medium,6780,Medium,0.52,1.32,7.45,11,seed_direct
gym supplements,Category Terms,commercial,Medium,1101,Low,0.26,0.75,7.45,11,seed_direct
fitness nutrition,Category Terms,commercial,High,6274,Low,0.2,0.82,8.45,3,seed_direct
muscle building supplements,Category Terms,commercial,Low,673,Medium,0.56,1.2,5.95,26,seed_direct
pre workout,Category Terms,commercial,Medium,2157,Medium,0.6,1.28,6.55,20,seed_direct
protein isolate,Category Terms,commercial,Medium,3559,Low,0.26,0.79,7.95,6,seed_direct
bodybuilding supplements,Category Terms,commercial,Medium,2229,Medium,0.56,1.29,6.95,16,seed_direct
sports nutrition,Category Terms,commercial,Medium,4877,Low,0.21,0.73,7.95,6,seed_direct
mass gainer,Category Terms,commercial,Medium,4466,Medium,0.59,1.18,6.35,22,seed_direct
whey protein mumbai,Location-based Queries,commercial,Medium,1189,Low,0.24,0.74,7.45,11,location_variant
whey protein in mumbai,Location-based Queries,informational,Low,1783,Medium,0.49,1.28,5.85,27,location_variant
best whey protein mumbai,Location-based Queries,commercial,Medium,990,Medium,0.59,1.19,6.15,24,location_variant
whey protein near mumbai,Location-based Queries,informational,Medium,2770,Medium,0.42,1.17,6.35,22,location_variant
mumbai whey protein,Location-based Queries,commercial,Medium,1935,Low,0.29,0.77,7.45,11,location_variant
whey protein delivery mumbai,Location-based Queries,transactional,Medium,1180,Low,0.23,0.8,7.75,8,location_variant
whey protein delhi,Location-based Queries,commercial,Medium,3891,Medium,0.57,1.34,6.95,16,location_variant
whey protein in delhi,Location-based Queries,informational,Medium,2003,Medium,0.58,1.19,6.35,22,location_variant
best whey protein delhi,Location-based Queries,commercial,Medium,2970,Medium,0.55,1.24,7.15,14,location_variant
whey protein near delhi,Location-based Queries,informational,Medium,2427,Low,0.28,0.78,7.35,12,location_variant
delhi whey protein,Location-based Queries,commercial,Medium,1886,Medium,0.56,1.29,6.45,21,location_variant
whey protein bengaluru,Location-based Queries,commercial,Medium,1686,Medium,0.6,1.36,6.45,21,location_variant
whey protein in bengaluru,Location-based Queries,informational,Medium,735,Low,0.2,0.7,6.35,22,location_variant
best whey protein bengaluru,Location-based Queries,commercial,Medium,2498,Medium,0.43,1.31,7.15,14,location_variant
whey protein near bengaluru,Location-based Queries,informational,Medium,4098,Low,0.28,0.71,7.35,12,location_variant
bengaluru whey protein,Location-based Queries,commercial,Medium,1231,Low,0.25,0.8,7.45,11,location_variant
whey protein pune,Location-based Queries,commercial,Medium,500,Low,0.26,0.75,6.95,16,location_variant
whey protein in pune,Location-based Queries,informational,Low,1266,Medium,0.46,1.27,5.85,27,location_variant
best whey protein pune,Location-based Queries,commercial,Medium,2314,Medium,0.54,1.34,7.15,14,location_variant
whey protein near pune,Location-based Queries,informational,Medium,3481,Medium,0.53,1.32,6.35,22,location_variant
pune whey protein,Location-based Queries,commercial,Low,685,Medium,0.43,1.24,5.95,26,location_variant
